Id|CompanyID|SleeveName|Width|Height|BGGName
1|2|Mini - Yellow: Clear Gloss|41|63|Arcane Tinmen sleeve size: [b][BGCOLOR=#FFE100]Mini - Yellow: Clear Gloss (AT-10405, 100/pack)[/BGCOLOR][/b]
2|2|Mini - Yellow: Non-Glare Matte|41|63|[b][BGCOLOR=#FFE100]Non-Glare Matte (AT-10425, 50/pack)[/BGCOLOR][/b] - (41 x 63mm)
3|2|Small - Red: Clear Gloss|44|68|Arcane Tinmen sleeve size: [b][BGCOLOR=#E83F2A]Small - Red: Clear Gloss (AT-10404, 100/pack)[/BGCOLOR][/b]
4|2|Small - Red: Non-Glare Matte|44|68|[b][BGCOLOR=#E83F2A]Non-Glare Matte (AT-10424, 50/pack)[/BGCOLOR][/b] - (44 x 68mm)
5|2|Medium - Green: Clear Gloss|57|89|Arcane Tinmen sleeve size: [b][BGCOLOR=#77B547]Medium - Green: Clear Gloss (AT-10403, 100/pack)[/BGCOLOR][/b]
6|2|Medium - Green: Non-Glare Matte|57|89|[b][BGCOLOR=#77B547]Non-Glare Matte (AT-10423, 50/pack)[/BGCOLOR][/b] - (57 x 89mm)
7|2|Standard - Gray: Clear Gloss|63|88|Arcane Tinmen sleeve size: [b][COLOR=#FFFFFF][BGCOLOR=#918F94]Standard - Gray: Clear Gloss (AT-10406, 100/pack)[/BGCOLOR][/COLOR][/b]
8|2|Standard - Gray: Non-Glare Matte|63|88|[b][COLOR=#FFFFFF][BGCOLOR=#918F94]Non-Glare Matte (AT-10426, 50/pack)[/BGCOLOR][/COLOR][/b] - (63 x 88mm)
9|2|Large - Blue: Clear Gloss|59|92|Arcane Tinmen sleeve size: [b][BGCOLOR=#35AAE1]Large - Blue: Clear Gloss (AT-10402, 100/pack)[/BGCOLOR][/b]
10|2|Large - Blue: Non-Glare Matte|59|92|[b][BGCOLOR=#35AAE1]Non-Glare Matte (AT-10422, 50/pack)[/BGCOLOR][/b] - (59 x 92mm)
11|2|Extra Large - Purple: Clear Gloss|65|100|Arcane Tinmen sleeve size: [b][COLOR=#FFFFFF][BGCOLOR=#8F59A0]Extra Large - Purple: Clear Gloss (AT-10407, 100/pack)[/BGCOLOR][/COLOR][/b]
12|2|Extra Large - Purple: Non-Glare Matte|65|100|[b][COLOR=#FFFFFF][BGCOLOR=#8F59A0]Non-Glare Matte (AT-10427, 50/pack)[/BGCOLOR][/COLOR][/b] - (65 x 100mm)
13|2|Oversized - Brown: Clear Gloss|79|120|Arcane Tinmen sleeve size: [b][BGCOLOR=#A16C38]Oversized - Brown: Clear Gloss (AT-10408, 100/pack)[/BGCOLOR][/b]
14|2|Oversized - Brown: Non-Glare Matte|79|120|[b][BGCOLOR=#A16C38]Non-Glare Matte (AT-10428, 50/pack)[/BGCOLOR][/b] - (79 x 120mm)
15|2|Square - Orange: Clear Gloss|70|70|Arcane Tinmen sleeve size: [b][BGCOLOR=#F39100]Square - Orange: Clear Gloss (AT-10409, 100/pack)[/BGCOLOR][/b]
16|2|Square - Orange: Non-Glare Matte|70|70|[b][BGCOLOR=#F39100]Non-Glare Matte (AT-10429, 50/pack)[/BGCOLOR][/b] - (70 x 70mm)
17|2|Tarot - Dark Green: Clear Gloss|70|120|Arcane Tinmen sleeve size: [b][COLOR=#FFFFFF][BGCOLOR=#00733A]Tarot - Dark Green: Clear Gloss (AT-10410, 100/pack)[/BGCOLOR][/COLOR][/b]
18|2|Tarot - Dark Green: Non-Glare Matte|70|120|[b][COLOR=#FFFFFF][BGCOLOR=#00733A]Non-Glare Matte (AT-10430, 50/pack)[/BGCOLOR][/COLOR][/b] - (70 x 120mm)
19|3|61x93: Standard|61|93|Artipia sleeve size: [b]61x93: Standard (S61X93SLV, 100/pack)[/b]
20|3|61x93: Premium|61|93|[b]Premium (P61X93SLV, 50/pack)[/b] - (61 x 93mm)
21|3|49.5x69.5: Standard|49.5|69.5|Artipia sleeve size: [b]49.5x69.5: Standard (S45.5X69.5SLV, 100/pack)[/b]
22|3|49.5x69.5: Premium|45.5|69.5|[b]Premium (P45.5X69.5SLV, 50/pack)[/b] - (45.5 x 69.5mm)
23|3|72x72: Standard|72|72|Artipia sleeve size: [b]72x72: Standard (S72X72SLV, 100/pack)[/b]
24|3|72x72: Premium|72|72|[b]Premium (P72X72SLV, 50/pack)[/b] - (72 x 72mm)
25|3|82x82: Standard|82|82|Artipia sleeve size: [b]82x82: Standard (S82X82SLV, 100/pack)[/b]
26|3|82x82: Premium|82|82|- ([b]Premium: (P82X82SLV, 50/pack)[/b] - 82 x 82mm)
27|3|82x122: Standard|82|122|Artipia sleeve size: [b]82x122: Standard (S82X122SLV, 100/pack)[/b]
28|3|82x122: Premium|82|122|[b]Premium (P80X120SLV, 50/pack)[/b] - (82 x 122mm)
29|3|67x102: Standard|67|102|Artipia sleeve size: [b]67x102: Standard (S67X102SLV, 100/pack)[/b]
30|3|67x102: Premium|67|102|[b]Premium (P67X102SLV, 50/pack)[/b] - (67 x 102mm)
31|23|63.5x88 Standard|63.5|88|Awaken Realms sleeve size: [b]63.5x88 Standard (63.5x88, 50/pack)[/b] - (63.5 x 88mm)
32|23|45x68 Small|45|68|Awaken Realms sleeve size: [b]45x68 Small (45x68, 50/pack)[/b] - (45 x 68mm)
33|23|80x120 Oversized|80|120|Awaken Realms sleeve size: [b]80x120 Oversized (80x120, 50/pack)[/b] - (80 x 120mm)
34|23|100x100 Oversized Square|100|100|Awaken Realms sleeve size: [b]100x100 Oversized Square (100x100, 50/pack)[/b] - (100 x 100mm)
35|4|Deck Guard - Clear - Red|66.675|92.075|BCW sleeve size: [b][BGCOLOR=#DA190A]Deck Guard - Clear - Red (1-DG-CLE, 50/pack)[/BGCOLOR][/b]
36|4|Board Game Sleeve - 41x63mm - Yellow|41|63|BCW sleeve size: [b][BGCOLOR=#D7D415]Board Game Sleeve - 41 x 63mm - Yellow (1-BG-41X63, 50/pack)[/BGCOLOR][/b]
37|4|Board Game Sleeve - 43x65mm - Orange|43|65|BCW sleeve size: [b][COLOR=#FFFFFF][BGCOLOR=#D43901]Board Game Sleeve - 43 x 65mm - Orange (1-BG-43X65, 50/pack)[/BGCOLOR][/COLOR][/b]
38|4|Board Game Sleeve - 45x68mm - Red|45|68|BCW sleeve size: [b][BGCOLOR=#D22515]Board Game Sleeve - 45 x 68mm - Red (1-BG-45X68, 50/pack)[/BGCOLOR][/b]
39|4|Board Game Sleeve - 56x87mm - Blue|56|87|BCW sleeve size: [b][BGCOLOR=#689EF4]Board Game Sleeve - 56 x 87mm - Blue (1-BG-56X87, 50/pack)[/BGCOLOR][/b]
40|4|Max Protection Sleeve - 90x59mm|90|59|[b]Max Protection Sleeve - 90 x 59mm (MP-7050B 9059, 100/pack)[/b]
41|4|Board Game Sleeve - 58x89mm - Green|58|89|BCW sleeve size: [b][BGCOLOR=#13AA7F]Board Game Sleeve - 58 x 89mm - Green (1-BG-58X89, 50/pack)[/BGCOLOR][/b]
42|4|Board Game Sleeve - 59x92mm - Purple|59|92|BCW sleeve size: [b][BGCOLOR=#AB3EBF]Board Game Sleeve - 59 x 92mm - Purple (1-BG-59X92, 50/pack)[/BGCOLOR][/b]
43|4|Max Protection Sleeve - 93x62mm|93|62|[b]Max Protection Sleeve - 93 x 62mm (MP-7050B 9362, 100/pack)[/b]
44|4|Board Game Sleeve - 70x120mm - Orange|70|120|BCW sleeve size: [b][BGCOLOR=#F74D02]Board Game Sleeve - 70 x 120mm - Orange (1-BG-70X120, 50/pack)[/BGCOLOR][/b]
45|4|Regular Inner Sleeve - Orange|64|89|BCW sleeve size: [b][BGCOLOR=#FF5200]Regular Inner Sleeve - Orange (1-SSLV-I, 100/pack)[/BGCOLOR][/b]
46|4|4x6" Photo Sleeve|101.6|152.4|BCW sleeve size: [b]4x6 Photo Sleeve (1-4X6SLV, 100/pack)[/b]
47|4|5x7" Photo Sleeve|127|177.8|BCW sleeve size: [b]5x7 Photo Sleeve - 5-1/8 x 7-1/8" (1-5X7SLV, 100/pack)[/b]
48|4|5&frac18;x6" Resealable CD Bag|130.175|152.4|BCW sleeve size: [b]5-1/8 x 6" Resealable CD Bag (1-BAG-CD-R, 100/pack)[/b]
49|4|Postcard Sleeve - 3-11/16 x 5&frac34;"|93.5|146|BCW sleeve size: [b]Postcard Sleeve - 3-11/16 x 5-3/4" (1-PCSLV, 100/pack)[/b] - (93.5 x 146mm)
50|4|Continental Postcard Sleeve - 4&frac38; x 6&frac14;"|111.125|158.75|BCW sleeve size: [b]Continental Postcard Sleeve - 4-3/8 x 6-1/4" (1-CPCSLV, 100/pack)[/b]
51|4|European First Day Postcard Sleeve - 5&frac18; x 7-13/16"|130.175|179.388|BCW sleeve size: [b]European First Day Postcard Sleeve - 5-1/8 x 7-13/16" (1-EFDCSLV, 100/pack)[/b] - 130.175 x 179.388 (130.175 x 179.388mm)
52|4|6x9 Photo Sleeve - 6x9"|152.4|228.6|BCW sleeve size: [b]6x9 Photo Sleeve - 6 x 9" (1-6X9SLV, 100/pack)[/b]
