3 Kings,,110,63,88,,,,,,,,,
88,,116,63,88,,,,,,,,,
504,,160,45,68,,,,,,,,,
1969,,39,63.5,88,,,,,,,,,
3012,,228,58,89,,,,,,,,,
¡Abordaje!,,24,63,88,,,,,,,,,
"...and then, we held hands.",,74,58,89,,,,,,,,,
(Your Name Here) and the Argonauts,,54,63,88,,,,,,,,,
[microfilms],,25,58,89,,,,,,,,,
[Redacted],,93,57,88,,,,,,,,,
[Redacted]: Mercenaries,,40,57,88,,,,,,,,,
€uro Crisis,,51,58,89,,,,,,,,,
11,,55,57,88,,,,,,,,,
100 Swords: The Blue Mammoth's Dungeon,,55,63,88,,,,,,,,,
100 Swords: The Chroma Dragon's Dungeon Builder Set,,15,63,88,,,,,,,,,
100 Swords: The Darkness Dungeon Builder Set,,15,63,88,,,,,,,,,
100 Swords: The Red Dragon's Dungeon,,55,63,88,,,,,,,,,
100 Swords: The Red Dragon's Dungeon Expansions,,15,63,88,,,,,,,,,
10 Minite Heist: The Wizard's Tower (KS add 1 card),,57,70,70,,,,,,,,,
11 nimmt!,,110,56,87,,,,,,,,,
12 Days of Christmas,,78,63,88,,,,,,,,,
12 O'Clock High,,120,63,88,112,45,68,,,,,,
12 Realms Realm,,53,52,52,76,63,82.5,,,,,,
13 Days: The Cuban Missile Crisis,,53,63,88,,,,,,,,,
13 Dead End Drive,,54,57,87.5,,,,,,,,,
1313 Dead End Drive,,84,53,75,48,63,82.5,,,,,,
15 Dias: The Spanish Golden Age,,109,63,88,,,,,,,,,
1655: Habemus Papam,,120,63,88,,,,,,,,,
1714: The Case of the Catalans,,110,57,88,,,,,,,,,
1750: Britain vs. France,,108,63,88,130,45,68,,,,,,
1754: Conquest – The French and Indian War,,48,57,87.5,,,,,,,,,
1775: Rebellion,,54,57,88,,,,,,,,,
1812: The Invasion of Canada,,60,57,89,,,,,,,,,
1830 Cardgame,,120,45,68,,,,,,,,,
1830: Railways & Robber Barons,,144,45,68,,,,,,,,,
1835,,8,131,201,109,45,68,6,105,150,,,
1853 Train Game,,110,45,68,,,,,,,,,
1865: Sardinia,,138,35,50,,,,,,,,,
1911 Amundsen vs Scott,,80,56,87,,,,,,,,,
1936: Guerra Civil,,252,63,88,,,,,,,,,
1944: Race to the Rhine,,110,57,88,,,,,,,,,
1955: The War of Espionage,,56,63,88,,,,,,,,,
1960: Making of the President,,109,63.5,88,,,,,,,,,
1989: Dawn of Freedom,,164,63.5,88,,,,,,,,,
1st & Goal,,120,63.5,88,,,,,,,,,
2 de Mayo,,25,63,88,,,,,,,,,
20th Century,,109,45,68,,,,,,,,,
20th Century Limited,,183,59,92,,,,,,,,,
21 Mutinies Arrr! Edition,,45,56,87,,,,,,,,,
27th Passenger: A Hunt On Rails,,133,63,82.5,,,,,,,,,
3 Wishes,,23,63,88,,,,,,,,,
300: The Board Game,,52,63.5,88,,,,,,,,,
404: Law Not Found,,6,141,174,155,63,82.5,,,,,,
51st State,,126,63,88,,,,,,,,,
51st State New Era Expansion,,7,63,88,,,,,,,,,
6 Nimmt (Category 5),,104,56,87,,,,,,,,,
7 Ages,,110,63.5,88,,,,,,,,,
7 Ages: 6000 Years of Human History,,110,110,89,,,,,,,,,
7 Days of Westerplatte,,76,??,??,,,,,,,,,
7 Kingdoms,,49,63,88,,,,,,,,,
7 Wonder Leaders,,42,65,100,,,,,,,,,
7 Wonders,,157,65,100,,,,,,,,,
7 Wonders Cities,,38,65,100,,,,,,,,,
"7 Wonders Promos (Stevie Wonder, Catan Island & Mannekin Pis)",,3,65,100,,,,,,,,,
7 Wonders: Duel,,12,65,100,73,45,68,,,,,,
7-Card Slugfest,,102,63,88,,,,,,,,,
8 Masters' Revenge,,108,63,82.5,,,,,,,,,
A Brief History of The World,,96,57,89,,,,,,,,,
A Conclave of Wyrms,,67,??,??,,,,,,,,,
A Distant Plain,,78,63,82.5,,,,,,,,,
A Duel Betwixt Us,,200,63,88,,,,,,,,,
A Feast for Odin,,237,45,68,,,,,,,,,
A Fool's Fortune,,77,70,120,,,,,,,,,
A Game of Gnomes,,102,57,87.5,,,,,,,,,
A Game of Thrones -Board Game,,100,57,89,,,,,,,,,
A Game of Thrones Clash Of Kings,,100,57,89,,,,,,,,,
A Game of Thrones LCG -Chapter Pack,,50,63.5,88,,,,,,,,,
A Game of Thrones LCG -Core,,250,63.5,88,,,,,,,,,
A Game of Thrones Storm Of Swords,,200,57,89,,,,,,,,,
A Game of Thrones: The Card Game (Second Edition),,234,63,88,,,,,,,,,
A Handful of Stars,,109,63,88,,,,,,,,,
A la carte : Dessert,,16,59,92,,,,,,,,,
A Study in Emerald ( Second Edition),,140,63.5,88,,,,,,,,,
A.D. 30 ,,25,63,88,,,,,,,,,
AARRR!,,68,56,87,,,,,,,,,
Abaddon,,110,63,82.5,,,,,,,,,
Abetto ,,,45,68,,,,,,,,,
Abetto (2010),,,45,68,,,,,,,,,
Above and Below,,94,59,92,,,,,,,,,
Absacker,,106,?,?,,,,,,,,,
Abyss Lord Cards,,35,65,100,,,,,,,,,
AC/DC ,,84,65,65,,,,,,,,,
Ace Detective ( Large cards),,136,63,88,,,,,,,,,
Ace Detective ( small cards),,55, (Small Cards),68,,,,,,,,,
Ace Detective: Strange Tales,,29,63,88,13,45,68,,,,,,
Ace of Spies,,160,63.5,88,,,,,,,,,
Achaia,,103,63,88,,,,,,,,,
Acquire,(1976 version),181,57,88,,,,,,,,,
Acquire ,(2008 version),175,63.5,88,,,,,,,,,
Acts of Insanity,,324,56.77,82.35,,,,,,,,,
Ad Astra,,216,45,68,,,,,,,,,
Addictive Alchemy,,6,70,110,162,63,88,,,,,,
Adel Verpflichtet,,,45,70,,,,,,,,,
Adlungland,,66,56,87,,,,,,,,,
Adrenaline,,24,45,68,21,61.5,103,,,,,,
Advanced Space Crusade,,36,29,39,,,,,,,,,
Adventure Land,,110,56,87,,,,,,,,,
Adventure of D,,112,63.5,88,,,,,,,,,
Adventure Time Card Wars: BMO vs. Lady Rainicorn,,80,63,88,,,,,,,,,
Adventure Time Card Wars: Finn vs. Jake,,80,63,88,,,,,,,,,
Adventure Time Card Wars: Fionna vs Cake,,80,63,88,,,,,,,,,
Adventure Time Card Wars: Ice King vs. Marceline,,80,63,88,,,,,,,,,
Adventure Time Card Wars: Lemongrab vs. Gunter,,80,63,88,,,,,,,,,
Adventure Time Card Wars: Princess Bubblegum vs. Lumpy Space Princess ,,80,63,88,,,,,,,,,
Adventure Tours,,120,58,89,,,,,,,,,
Adventurer Card Game Portal Expansion,,45,64,89,,,,,,,,,
Adventurer: Card Game,,80,64,89,,,,,,,,,
"Adventurers: The Pyramid of Horus, The",,8,57.5,89,,,,,,,,,
"Adventurers: The Pyramid of Horus, The",,100,41,63,,,,,,,,,
Adventurers: The Temple of Chac,,12,57.5,89,,,,,,,,,
Adventurers: The Temple of Chac (other cards),,88,41,63,,,,,,,,,
Aeon's End (Breach Cards),,16,?,?,,,,,,,,,
Aeon's End (Standard Cards),,318,63,88,,,,,,,,,
Aeon's End: Kickstarter Promos,,64,63,88,,,,,,,,,
Aeon's end: The Depths,,74,63,88,,,,,,,,,
Aeroplanes: Aviation Ascendant,,46,59,92,,,,,,,,,
Africana,,74,57.5,89,,,,,,,,,
Age of Conan,,165,57,89,,,,,,,,,
Age of Craft,,172,56,87,,,,,,,,,
Age of Craft Expansion #1: Blueprints and Visitors,,65,56,87,,,,,,,,,
Age of Craft Expansion #2: Architecture Alliance,,77,56,87,,,,,,,,,
Age of Discovery,,50,45,68,60,56,87,,,,,,
